--- SA2OPT algorithm results for the problem pr439.tsp ---

Node_ID    X-coo        Y-coo
1         7125.000000   11300.000000
2         7225.000000   11050.000000
3         7225.000000   11150.000000
4         7375.000000   11300.000000
5         7500.000000   11200.000000
6         7625.000000   11275.000000
7         7725.000000   11275.000000
8         7825.000000   11275.000000
9         7925.000000   11275.000000
10         8050.000000   11225.000000
11         8050.000000   11125.000000
12         8150.000000   11125.000000
13         8275.000000   11300.000000
14         8400.000000   11300.000000
15         8525.000000   11300.000000
16         8650.000000   11300.000000
17         8750.000000   11200.000000
18         12475.000000   10800.000000
19         12075.000000   10800.000000
20         11975.000000   10975.000000
21         11575.000000   10975.000000
22         11525.000000   10850.000000
23         11400.000000   10975.000000
24         11425.000000   10850.000000
25         11000.000000   10975.000000
26         10475.000000   10850.000000
27         10375.000000   10850.000000
28         10300.000000   10975.000000
29         10250.000000   10850.000000
30         9900.000000   10975.000000
31         9850.000000   10850.000000
32         9350.000000   11000.000000
33         8750.000000   11000.000000
34         8650.000000   10900.000000
35         8525.000000   10900.000000
36         8400.000000   10900.000000
37         8275.000000   10900.000000
38         8050.000000   10775.000000
39         7900.000000   10775.000000
40         7925.000000   10975.000000
41         7825.000000   10975.000000
42         7750.000000   10775.000000
43         7725.000000   10975.000000
44         7600.000000   10775.000000
45         7625.000000   10975.000000
46         7500.000000   11000.000000
47         7425.000000   10750.000000
48         7325.000000   10750.000000
49         7375.000000   10900.000000
50         7225.000000   10750.000000
51         7125.000000   10750.000000
52         7125.000000   10900.000000
53         7125.000000   10450.000000
54         7225.000000   10450.000000
55         7325.000000   10450.000000
56         7425.000000   10450.000000
57         8300.000000   10500.000000
58         8600.000000   10500.000000
59         8950.000000   10425.000000
60         9050.000000   10425.000000
61         9150.000000   10425.000000
62         9350.000000   10600.000000
63         10200.000000   10600.000000
64         10700.000000   10600.000000
65         11375.000000   10575.000000
66         11525.000000   10625.000000
67         11650.000000   10625.000000
68         11775.000000   10450.000000
69         11775.000000   10250.000000
70         11650.000000   10125.000000
71         11525.000000   10125.000000
72         11375.000000   10175.000000
73         10250.000000   10325.000000
74         10250.000000   10125.000000
75         9275.000000   10275.000000
76         9175.000000   10275.000000
77         8950.000000   10200.000000
78         8750.000000   10200.000000
79         8050.000000   10275.000000
80         7900.000000   10275.000000
81         7750.000000   10275.000000
82         7600.000000   10275.000000
83         4975.000000   10125.000000
84         4750.000000   10125.000000
85         4525.000000   10125.000000
86         8750.000000   10000.000000
87         8950.000000   10000.000000
88         11375.000000   10000.000000
89         11475.000000   10000.000000
90         11575.000000   10000.000000
91         11675.000000   10000.000000
92         12100.000000   9875.000000
93         12225.000000   9875.000000
94         12350.000000   9875.000000
95         12750.000000   9925.000000
96         12875.000000   9925.000000
97         13125.000000   9875.000000
98         13000.000000   9800.000000
99         13000.000000   9550.000000
100         12600.000000   9775.000000
101         12600.000000   9575.000000
102         11975.000000   9800.000000
103         11975.000000   9550.000000
104         11675.000000   9700.000000
105         11575.000000   9700.000000
106         11475.000000   9700.000000
107         11375.000000   9700.000000
108         10975.000000   9600.000000
109         10850.000000   9600.000000
110         10375.000000   9250.000000
111         10475.000000   9250.000000
112         10575.000000   9250.000000
113         11725.000000   9325.000000
114         11850.000000   9375.000000
115         12100.000000   9475.000000
116         12050.000000   9275.000000
117         12225.000000   9475.000000
118         12150.000000   9275.000000
119         12250.000000   9275.000000
120         12350.000000   9475.000000
121         12350.000000   9275.000000
122         12525.000000   9325.000000
123         12750.000000   9425.000000
124         12775.000000   9275.000000
125         12875.000000   9425.000000
126         12875.000000   9275.000000
127         12975.000000   9275.000000
128         13125.000000   9475.000000
129         13075.000000   9275.000000
130         13250.000000   9375.000000
131         13375.000000   9375.000000
132         13500.000000   9375.000000
133         13625.000000   9375.000000
134         13075.000000   8975.000000
135         12975.000000   8975.000000
136         12875.000000   8975.000000
137         12775.000000   8975.000000
138         12525.000000   8925.000000
139         12350.000000   8975.000000
140         12250.000000   8975.000000
141         12150.000000   8975.000000
142         12050.000000   8975.000000
143         11725.000000   8925.000000
144         10975.000000   9200.000000
145         10900.000000   8975.000000
146         10850.000000   9200.000000
147         10800.000000   9075.000000
148         10800.000000   8975.000000
149         5150.000000   8750.000000
150         11650.000000   8725.000000
151         11775.000000   8775.000000
152         11850.000000   8875.000000
153         11900.000000   8725.000000
154         12025.000000   8625.000000
155         12150.000000   8650.000000
156         12275.000000   8725.000000
157         12400.000000   8625.000000
158         12525.000000   8725.000000
159         12650.000000   8625.000000
160         12850.000000   8725.000000
161         12975.000000   8625.000000
162         13100.000000   8775.000000
163         13250.000000   8875.000000
164         13375.000000   8875.000000
165         13500.000000   8875.000000
166         13475.000000   8725.000000
167         13625.000000   8875.000000
168         13700.000000   8500.000000
169         13600.000000   8600.000000
170         13600.000000   8500.000000
171         13475.000000   8325.000000
172         13350.000000   8350.000000
173         13250.000000   8450.000000
174         13250.000000   8350.000000
175         12975.000000   8425.000000
176         12850.000000   8325.000000
177         12650.000000   8425.000000
178         12525.000000   8325.000000
179         12400.000000   8425.000000
180         12275.000000   8325.000000
181         12150.000000   8400.000000
182         12025.000000   8425.000000
183         11900.000000   8325.000000
184         11650.000000   8325.000000
185         11000.000000   8575.000000
186         4900.000000   8500.000000
187         6150.000000   8275.000000
188         6625.000000   8300.000000
189         7025.000000   8300.000000
190         11225.000000   8125.000000
191         11550.000000   8125.000000
192         11775.000000   8275.000000
193         11850.000000   8125.000000
194         11975.000000   8125.000000
195         12100.000000   8125.000000
196         12225.000000   8125.000000
197         12350.000000   8125.000000
198         12475.000000   8025.000000
199         12600.000000   8125.000000
200         12725.000000   8125.000000
201         12850.000000   8125.000000
202         12975.000000   8125.000000
203         13100.000000   8125.000000
204         13100.000000   8275.000000
205         13225.000000   8125.000000
206         13375.000000   8175.000000
207         13500.000000   8175.000000
208         13625.000000   8125.000000
209         13625.000000   7725.000000
210         13225.000000   7725.000000
211         13100.000000   7725.000000
212         12975.000000   7725.000000
213         12850.000000   7725.000000
214         12725.000000   7725.000000
215         12600.000000   7725.000000
216         12475.000000   7825.000000
217         12350.000000   7725.000000
218         12225.000000   7725.000000
219         12100.000000   7725.000000
220         11975.000000   7725.000000
221         11850.000000   7725.000000
222         11550.000000   7725.000000
223         11225.000000   7725.000000
224         11000.000000   7775.000000
225         6625.000000   7950.000000
226         4800.000000   7825.000000
227         4550.000000   7825.000000
228         4550.000000   7425.000000
229         4800.000000   7425.000000
230         6150.000000   7525.000000
231         6825.000000   7575.000000
232         7075.000000   7575.000000
233         11450.000000   7500.000000
234         11550.000000   7500.000000
235         11650.000000   7500.000000
236         11750.000000   7500.000000
237         11850.000000   7500.000000
238         11950.000000   7500.000000
239         12050.000000   7500.000000
240         12150.000000   7500.000000
241         12325.000000   7550.000000
242         12500.000000   7500.000000
243         12600.000000   7500.000000
244         12700.000000   7500.000000
245         12800.000000   7500.000000
246         13025.000000   7500.000000
247         13125.000000   7500.000000
248         13225.000000   7500.000000
249         13325.000000   7500.000000
250         13375.000000   7675.000000
251         13500.000000   7675.000000
252         13500.000000   7450.000000
253         13625.000000   7550.000000
254         13625.000000   7150.000000
255         13500.000000   7250.000000
256         13325.000000   7200.000000
257         13225.000000   7200.000000
258         13125.000000   7200.000000
259         13025.000000   7200.000000
260         12800.000000   7200.000000
261         12700.000000   7200.000000
262         12600.000000   7200.000000
263         12500.000000   7200.000000
264         12325.000000   7150.000000
265         12150.000000   7200.000000
266         12050.000000   7200.000000
267         11950.000000   7200.000000
268         11850.000000   7200.000000
269         11750.000000   7200.000000
270         11650.000000   7200.000000
271         11550.000000   7200.000000
272         11450.000000   7200.000000
273         11050.000000   7125.000000
274         10950.000000   7125.000000
275         10850.000000   7125.000000
276         10750.000000   7125.000000
277         10650.000000   7125.000000
278         10550.000000   7125.000000
279         10450.000000   7125.000000
280         7075.000000   7175.000000
281         5825.000000   7350.000000
282         5425.000000   7350.000000
283         4425.000000   7275.000000
284         4425.000000   6875.000000
285         7075.000000   7075.000000
286         7250.000000   7025.000000
287         7250.000000   6900.000000
288         7750.000000   6900.000000
289         7900.000000   6900.000000
290         8200.000000   6900.000000
291         8350.000000   6900.000000
292         8650.000000   6900.000000
293         8800.000000   6900.000000
294         10450.000000   6825.000000
295         10550.000000   6825.000000
296         10650.000000   6825.000000
297         10750.000000   6825.000000
298         10850.000000   6825.000000
299         10950.000000   6825.000000
300         11050.000000   6825.000000
301         11425.000000   6975.000000
302         11575.000000   6925.000000
